N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
1000.000000,0.002303,0.001879,0.000353,0.000162,0.003062,0.000200,0.000149,0.000170,0.000248,0.000459,0.002328,0.000251,0.000690,0.000014,0.000014,0.000014,0.000709,0.000013,0.000005,0.000920,0.000004,0.000682
2000.000000,0.007399,0.007012,0.000589,0.000375,0.011582,0.000491,0.000239,0.000183,0.000369,0.001453,0.008578,0.000544,0.002881,0.000032,0.000027,0.000027,0.002939,0.000019,0.000009,0.004368,0.000007,0.003209
3000.000000,0.017235,0.016363,0.000793,0.000562,0.026704,0.000783,0.000456,0.000309,0.000419,0.003039,0.020862,0.000918,0.006510,0.000043,0.000039,0.000039,0.006498,0.000027,0.000014,0.010353,0.000011,0.007938
4000.000000,0.030131,0.028448,0.001064,0.000785,0.045479,0.000991,0.000466,0.000442,0.000515,0.005246,0.036532,0.001332,0.011912,0.000099,0.000054,0.000053,0.013189,0.000043,0.000018,0.019977,0.000019,0.015635
5000.000000,0.054336,0.051702,0.001424,0.001023,0.079650,0.001679,0.000605,0.000461,0.000660,0.008307,0.060092,0.001670,0.017102,0.000073,0.000066,0.000072,0.017613,0.000045,0.000023,0.030010,0.000018,0.024350
6000.000000,0.074437,0.072295,0.001716,0.001353,0.113275,0.001955,0.000633,0.000641,0.000782,0.012600,0.094694,0.002190,0.025206,0.000092,0.000083,0.000082,0.025282,0.000056,0.000027,0.045164,0.000023,0.036583
7000.000000,0.102694,0.101900,0.001989,0.001700,0.155105,0.002265,0.000795,0.000699,0.000898,0.016442,0.126691,0.002570,0.033462,0.000111,0.000056,0.000096,0.034047,0.000065,0.000031,0.062470,0.000023,0.054210
8000.000000,0.128754,0.128275,0.002506,0.001669,0.197428,0.002390,0.000858,0.000790,0.001092,0.021091,0.171238,0.002906,0.044239,0.000116,0.000064,0.000113,0.044947,0.000075,0.000036,0.090883,0.000025,0.075170
9000.000000,0.160736,0.164409,0.002525,0.001890,0.245744,0.002651,0.000964,0.000946,0.001015,0.026450,0.232491,0.003383,0.055905,0.000201,0.000081,0.000134,0.056623,0.000083,0.000040,0.118685,0.000025,0.107611
9999.000000,0.202127,0.209799,0.002883,0.002152,0.305019,0.003785,0.001066,0.001150,0.001333,0.033958,0.307547,0.003888,0.070919,0.000327,0.000086,0.000143,0.071940,0.000173,0.000045,0.160868,0.000028,0.151429
